"{""ImportId"":""startDate"",""timeZone"":""Europe/London""},""{""""ImportId"""":""""endDate"""",""""timeZone"""":""""Europe/London""""}"",""{""""ImportId"""":""""QID1_TEXT""""}"",""{""""ImportId"""":""""QID26""""}"",""{""""ImportId"""":""""QID27_TEXT""""}"",""{""""ImportId"""":""""QID2""""}"",""{""""ImportId"""":""""QID3""""}"",""{""""ImportId"""":""""QID24""""}"",""{""""ImportId"""":""""QID25""""}"",""{""""ImportId"""":""""QID6_1""""}"",""{""""ImportId"""":""""QID6_2""""}"",""{""""ImportId"""":""""QID6_3""""}"",""{""""ImportId"""":""""QID6_4""""}"",""{""""ImportId"""":""""QID6_5""""}"",""{""""ImportId"""":""""QID6_6""""}"",""{""""ImportId"""":""""QID6_7""""}"",""{""""ImportId"""":""""QID6_17""""}"",""{""""ImportId"""":""""QID6_18""""}"",""{""""ImportId"""":""""QID6_8""""}"",""{""""ImportId"""":""""QID6_9""""}"",""{""""ImportId"""":""""QID6_10""""}"",""{""""ImportId"""":""""QID6_11""""}"",""{""""ImportId"""":""""QID6_12""""}"",""{""""ImportId"""":""""QID6_13""""}"",""{""""ImportId"""":""""QID6_14""""}"",""{""""ImportId"""":""""QID6_15""""}"",""{""""ImportId"""":""""QID6_16""""}"",""{""""ImportId"""":""""QID6_19""""}"",""{""""ImportId"""":""""QID6_20""""}"",""{""""ImportId"""":""""SC_5zfT4VAI9AojjO6""""}"""
17/10/2021 14:20,17/10/2021 14:25,AF019,Male,68,Agree,Agree,Agree,Online,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,99
18/10/2021 05:35,18/10/2021 05:43,AF018,Female,49,Agree,Agree,Agree,Online,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,91
19/10/2021 11:11,19/10/2021 11:13,AF002,Female,25,Agree,Agree,Agree,Online,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,88
19/10/2021 12:17,19/10/2021 12:21,AF022,Female,64,Agree,Agree,Agree,Online,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,76
20/10/2021 18:52,20/10/2021 18:54,AF017,Female,29,Agree,Agree,Agree,Online,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,83
22/10/2021 17:47,22/10/2021 17:49,AF003,Female,55,Agree,Agree,Agree,Online,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,94
27/10/2021 16:30,27/10/2021 16:34,AF027,Female,54,Agree,Agree,Disagree,Online,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,40
27/10/2021 17:15,27/10/2021 17:20,AF024,Male,68,Agree,Agree,Agree,Online,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,42
27/10/2021 17:15,27/10/2021 17:22,AF023,Female,64,Agree,Agree,Agree,Online,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,37
27/10/2021 19:15,27/10/2021 19:18,AF025,Female,31,Agree,Agree,Agree,Online,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,30
