anon_id	sex	sexpref	age	SDI1	SDI2	SDI3	SDI4	SDI5	SDI6	SDI7	SDI8	SDI9	SDI10	SDI11	SDI12	SDI13	SDI14	total
7c73e6ee96ae7e89a0eca62586bcca54	male		30.7	4	5	6	3	5	3	6	8	5	4	4	6	5	1	65
eea109bd4ff10f4665d299649c4396b0	female	men	20.0	5	4	7	5	5	5	7	7	6	5	7	6	7	4	80
b24636a2979b01edb8f7bdf08f8f5423	male		25.4	7	7	9	7	8	5	9	9	7	7	9	9	9	7	109
dcb2af8df9597500e7f648473fcc48f5	female		39.1	6	7	5	3	2	7	5	3	6	6	6	6	6	6	74
4240e0843baa9e95091683053160a9ad	male		20.3	6	5	7	3	3	6	7	6	6	3	7	7	6	3	75
58cce6f2d470a7badfdedf580488618b	female		19.9	5	7	5	1	4	6	9	4	6	5	1	2	1	1	57
a0df1693a060073b783f253085421ef5	male		20.9	5	4	5	7	7	2	6	4	4	2	4	2	3	3	58
68cefd47e5212835690e4883e12ceb62	male		20.8	0	0	1	1	1	1	1	1	1	0	1	1	1	0	10
68a75c9ead9bd629eec3dca029fea298	male		51.7	5	6	5	5	5	7	7	5	7	2	4	3	5	5	71
d1f19ec2283c1634095d15f54149c859	female		22.8	5	5	7	6	8	8	7	6	6	3	6	7	7	3	84
66ca830b47d3ec57d4e65add0f5fc37c	male		25.9	0	0	1	3	2	1	3	1	1	0	1	1	1	0	15
abc7c6bf08edc1f495e9ca306d505c42	male	either	29.5	7	5	8	9	7	6	9	6	8	6	7	8	9	0	95
3a49b9cd27921a00697acfec9c8b32bf	male		19.7	7	7	8	3	8	8	9	9	9	3	2	1	7	6	87
6124f949bdb4742fff367ffc55699495	female		19.4	7	4	7	4	3	7	7	7	7	0	2	6	6	2	69
7f151aab12ddfe5be782bbf7888e849a	male		27.4	3	7	9	6	6	8	8	6	7	5	7	7	7	6	92
041b62d9e82007641cd7da030d9327ad	male		31.9	6	6	9	6	5	6	7	6	6	6	7	4	7	5	86
04c1f34ac0e5fea160b3c0cd5b9ea795	male		30.2	7	6	7	3	3	5	8	5	7	6	6	9	8	6	86
67924e86d6dc4d715666b0ad5b8b48b3	male		37.0	7	6	8	5	8	7	9	8	7	6	6	8	7	6	98
b5f288322c6115c4f6b1694d32aed831	male		25.8	3	0	3	4	6	6	4	5	2	3	7	8	6	5	62
2a50b0ba62d6a76b82b84b2dabb6ce98	male		19.6	6	6	7	7	7	8	8	7	7	5	4	3	2	5	82
8f6743814b6ff26c7a71d0c444633f32	female	men	25.7	6	5	9	9	9	9	9	9	9	4	6	6	9	4	103
fa88120274deb2a2e0a301f296357a38	male		20.6	7	7	9	6	7	9	9	8	7	5	5	3	5	4	91
7619ab8a15649079703e2d2ff7c54c77	female		41.0	4	6	6	4	6	7	6	5	5	5	7	3	5	2	71
c4f4e86a48b2fbc1f6f3c2bb8bfc8f89	male		22.2	2	5	7	7	7	7	7	8	6	3	7	8	6	4	84
1da7c4a5df136cf0c42f97deb2366f83	male		56.7	6	6	9	9	9	9	9	9	9	7	8	8	9	6	113
530b74e142a7d0d23a625993bbd292a6	male		21.5	7	5	9	1	8	7	7	5	5	3	5	4	5	0	71
ae7e65b9afd7d75509f7a5a5f08f1c5c	female		60.1	7	6	8	6	6	7	9	7	7	6	7	8	6	6	96
98a98969bd0d21bfd27bd285a9dde4f8	male		20.3	7	6	5	7	8	6	5	3	5	6	7	7	6	5	83
dae13952479e42dd7f6ce51d469b7858	female		18.5	6	4	8	6	7	5	7	7	7	3	3	3	3	4	73
f03d5964426cfe643df7fb70c68272b1	female		18.5	7	7	6	7	9	5	7	7	8	6	9	9	9	7	103
4735978f2a82355b93c93b40df741633	female		20.7	5	3	5	5	5	6	5	5	5	0	5	5	5	2	61
8a18073d867abb0a9615bf30aa39c579	female		33.8	6	6	9	3	9	9	7	1	9	0	1	1	1	5	67
e17ba8f38b2e5df4bf0d355826b85f51	male		33.2	5	6	6	5	4	5	6	3	2	7	7	7	5	6	74
b4ff0396a7df03a10ce3a1d612e53503	male		24.1	7	7	9	9	9	7	7	5	9	7	9	9	9	7	110
c4063c2531a83e52054ff327cdb71cf8	female		28.2	3	2	7	7	8	9	8	8	7	2	6	7	7	3	84
bfd1229bfb173d06138dc27ea14f2654	female		33.6	5	6	8	8	8	9	9	6	6	3	4	4	4	3	83
bfc09258aea5852e18e9a858bfdc14f9	male		32.2	5	7	9	9	9	7	9	9	8	6	7	7	7	6	105
730b7de6391f26883cec72d10c6ca95e	male		24.2	6	6	6	5	6	7	8	7	6	5	6	6	6	6	86
3ddee40211707ff1b703d33911e82e8c	male		26.8	7	6	7	6	8	6	8	6	7	7	7	6	9	6	96
85e2a750372884a84c53c388b28496a9	male		26.3	6	7	8	8	9	8	9	9	8	6	7	7	8	5	105
5be0b5b5335f8980ede1529f8e0eab28	female		31.4	5	7	7	5	5	6	7	8	6	7	8	8	7	4	90
d1e80d1ff20f35fbb88ec5839c4a4870	male		25.1	5	3	5	3	4	3	4	6	3	3	5	6	4	5	59
223a4906b83d1e1753bcde20c318ea9c	female		18.3	4	6	7	5	7	8	7	6	8	3	5	7	7	4	84
da65dbaad374d660430f49f18fc09f89	female		24.2	6	5	4	5	7	8	6	5	3	5	5	5	5	4	73
05e94553149dd0c8c01484869a77878f	male		19.0	3	6	7	7	4	8	9	6	8	6	6	4	6	3	83
55a3e4c070aed640ac81e332cf411bce	male		20.5	6	7	6	7	9	6	9	4	8	7	5	5	7	7	93
0309afe0b22236708a8f1e384a199c77	male		27.5	7	6	8	8	8	7	8	5	7	7	5	5	5	6	92
aca484b3044e52563b7ca9b2362c6896	female		21.7	5	6	8	6	6	6	8	8	5	5	2	2	5	3	75
0e29b1e2363f224a8218cb218d70ffb9	male		20.3	6	6	7	6	8	8	8	9	6	6	8	9	5	5	97
b39e2fa7e5c91de29224c4c468ff0352	female		23.8	6	4	6	3	2	7	9	9	7	2	3	2	4	4	68
b2449bb0b25c6d43a7b65db06b5f44f9	female		21.3	7	4	8	1	5	5	7	5	5	2	2	1	5	2	59
af5bb2e847b00c5296f22e056e0241ce	male		24.3	4	6	4	6	8	5	7	7	5	5	6	6	7	5	81
1a64e236f13948ee37f3e6a912bcb942	female		39.5	4	6	4	3	5	2	5	7	7	0	1	1	1	4	50
b7c3a31939b8297c8f34e45cc90546e4	female		25.4	2	7	5	2	6	7	7	7	2	3	5	3	5	0	61
d3251c196171a0a7f5c0cbba659ebcce	male		32.1	3	3	6	5	5	6	6	6	6	4	7	7	8	6	78
4556680f99f8a4a379b46e53a606d302	female		26.0	4	6	5	5	3	3	9	9	5	4	5	5	5	2	70
7464d8a4298987aa8bab8283a6658711	male		35.7	7	6	9	7	7	6	7	4	6	6	9	9	8	6	97
d82d98dd79f38456b1311caa67f7e491	female		46.5	4	4	4	1	6	5	4	4	7	1	3	3	3	6	55
14e3b2d977b7b6822287a0cb334993bc	female		27.4	7	6	9	9	8	9	8	9	7	1	1	1	1	5	81
2d37c59711381f4da3d42f8073f93ce2	female		26.7	5	6	9	9	9	2	8	3	5	6	9	7	9	4	91
75a85248dcb6ca2d22cbba403e0a044f	male		29.3	7	7	2	3	4	4	8	9	9	6	9	6	7	6	87
696e23e296ca8730b88163c2027f9c82	male		31.2	5	0	6	8	7	7	8	3	4	0	3	2	2	0	55
af059616585f15df93e36f7e98a2e686	female		23.6	4	2	9	2	7	8	8	8	4	3	3	3	6	3	70
089aa7a35b5ab58ad21b1e600503a0cd	male		27.1	5	5	7	5	6	6	8	5	4	6	7	6	5	6	81
fac071fd78bfe38bd882a6a8d985c4f6	male		19.8	5	5	7	6	4	5	7	7	5	5	7	6	5	6	80
cbe2b1f7c65468cdbeec38b1cc3eee3f	male		20.6	5	6	7	8	9	6	9	8	7	5	6	3	4	6	89
f1454f1d6802b21ca2e53b5e6b218af7	female		20.4	3	2	8	6	5	7	6	6	5	3	6	3	4	2	66
25a99152652af66893ec936ac5a9233b	male		21.6	7	6	7	7	8	8	9	8	6	5	2	3	3	4	83
a5512da00bacd653950aa56216a203f7	male		20.6	3	4	6	4	3	5	7	9	5	1	2	1	5	3	58
55c90c2a0f8b6942b84cc568b00e9b28	female		18.2	6	5	6	3	6	5	7	6	7	5	7	5	7	3	78
b63ed31e2b18c07c5067a21dc70b2b36	male		22.1	6	5	6	3	4	6	7	2	3	4	4	3	5	2	60
ab199ac8ef2b53dbfd9a72c0b31b9e84	female		20.9	5	7	9	1	1	9	9	9	9	2	4	4	2	4	75
5d12f89d547815eba4b067cdb71af763	female		19.3	1	3	3	2	2	2	3	7	2	1	3	6	6	2	43
2de4118750a932e207fd69e6eec2ef42	male		27.4	7	4	9	9	9	9	9	9	9	6	9	9	9	8	115
f7c01a0a0c162682258f56bdc01135eb	female		20.2	1	2	5	3	3	3	4	2	2	1	3	3	3	2	37
650b64dd2f0b32042ae87260de67e214	male		50.4	5	4	6	8	8	5	7	6	7	6	5	7	6	5	85
bd7649dabc6780c4a2d2684fb4448c3f	female		19.4	0	0	2	1	1	1	2	2	3	0	1	1	7	0	21
3400f84c2c89e31088b5f2b17a534e6b	male		20.7	4	2	5	3	3	2	5	5	3	0	1	1	1	3	38
aa5528c23b3adaa8cf7bf6127622fc6f	female		21.4	4	2	7	5	5	8	9	8	5	2	3	1	5	2	66
73651ab698eec9fb814b7fa06a8ad552	female		18.8	2	2	6	7	7	8	8	6	5	5	9	9	6	5	85
3937a8d309170256696bfa88493df7d4	male		27.2	5	6	6	7	6	6	5	4	4	5	4	4	4	4	70
71df517f2691dd2ff0b96154a792431c	male		28.1	5	7	7	6	6	5	7	5	5	5	7	6	7	6	84
6eb2aad864a0bb2d86f76e964ab81549	male		23.5	4	4	4	5	7	5	5	4	5	5	7	7	6	5	73
57d5bd04d2e1a85eeeb5bf4968ee8ba0	female		36.0	2	3	4	7	3	5	6	4	5	2	4	3	5	2	55
5c7a087014aff6d920601b6dbf80718d	male		21.9	7	7	8	7	5	8	8	6	3	5	5	5	5	5	84
c38f0e640cecd8af3febbbee625e0121	female		18.0	6	7	8	6	5	8	8	8	7	5	8	8	9	5	98
1fb590c66e79de18c1f393256d13a1a1	male		34.1	5	4	8	5	7	5	8	8	5	0	1	1	1	2	60
1624edf0cf28c7f2a003930bb93487c2	female		26.9	6	6	8	4	4	6	9	8	8	4	5	5	4	5	82
c1561aad88b47a0bf126ae27a894b50e	female		20.4	1	3	1	1	4	9	5	1	1	4	9	5	6	2	52
b085234a456750ee905a59cfe16327a1	female		19.6	6	5	7	2	2	5	8	5	7	3	5	5	5	6	71
2faebf5ecf0e96de94fccde8aea8b733	female		26.5	5	6	9	3	5	5	5	9	5	3	5	5	5	5	75
341d005fe28f3ca9c28e622bcf0d7c15	female		26.0	3	0	9	5	9	8	6	7	5	4	9	7	5	4	81
922041a49d0e7c33cc5a58711e628ef8	female		18.4	5	3	5	5	6	7	8	8	5	0	1	1	5	4	63
f87de50a6338e8fed6790ee1a6204426	male		20.0	7	7	8	8	9	6	9	5	5	2	2	1	4	2	75
9ff13be7424859c1f71ac2d7b1ac783b	male		42.2	4	4	8	7	6	7	9	8	7	6	8	7	7	6	94
952d9ac263e6820266b33297676d97da	female		25.8	3	1	3	2	2	3	4	4	1	5	6	6	5	2	47
5a256306d1bfc3ec87d1c2a2d986d63f	female		25.4	6	6	8	5	5	8	8	9	6	4	6	6	6	5	88
af474c3dcac8ae37016464683d6fc3cb	female		43.5	4	2	3	3	2	7	6	7	6	1	2	2	3	4	52
