Age	Sex	Education	LN	EHI1	EHI2	EHI3	EHI4	EHI5	EHI6	EHI7	EHI8	EHI9	EHI10	FLI1	FLI2	FLI3	FLI4	FLI5	FLI6	FLI7	FLI8	FLI9	FLI10	FLI_recznosc_samoocena	FLI_uszkodzenia
28	1	4	19	1	1	1	3	1	3	1	1	1	1	100	100	80	80	80	50	75	75	50	100	1	0
23	2	2	16	2	2	2	2	2	3	1	2	2	2	0	0	98	0	0	0	98	0	0	0	2	0
31	1	4	17	1	1	1	1	1	1	2	1	1	1	100	100	100	100	0	100	100	100	80	100	1	0
28	1	2	19	1	1	1	3	1	3	3	3	3	3	100	100	50	70	100	50	50	50	50	100	1	0
20	1	2	13.5	1	1	1	1	1	1	1	1	1	1	100	100	80	95	98	55	70	95	98	100	1	0
21	1	2	16	2	3	1	2	2	2	2	2	2	3	0	0	0	50	0	50	50	0	50	0	2	0
23	1	2	16	1	1	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	100	100	1	0
20	1	1	12	2	2	2	2	2	3	2	2	2	2	0	0	20	0	50	10	0	0	50	0	2	0
26	1	4	19	2	1	3	1	2	3	3	3	3	1	0	0	0	0	0	0	0	0	0	0	2	0
23	1	4	17	1	1	1	1	1	1	2	1	1	1	100	100	90	60	99	70	99	100	50	100	1	0
21	1	2	15	1	1	1	1	1	3	2	3	1	1	99	100	60	50	45	65	75	90	60	99	1	0
42	1	2	11	2	1	2	1	2	1	2	1	1	1	0	0	50	5	1	1	5	50	50	100	2	0
22	2	2	16	2	2	2	2	2	2	1	1	1	1	0	0	100	80	50	100	100	100	100	100	2	0
25	1	4	17	2	2	2	2	2	2	2	2	2	2	0	0	10	20	0	10	0	0	0	0	2	0
18	2	1	11	1	1	1	1	1	3	1	1	2	1	100	95	50	70	89	50	50	80	70	90	1	0
26	1	4	17	1	1	1	1	1	1	3	1	3	1	100	100	70	70	0	999	999	100	999	100	1	0
23	2	4	16	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0
18	1	1	13	1	1	1	1	1	1	1	1	2	1	100	100	80	80	100	50	70	100	100	3	1	0
