Q241,DOB,Sex,HE,Nation,Relig,M_Relig,F_Relig,Q36,S_G1_A_1,S_G1_R_1,S_G1_I_1,S_G2_A_1,S_G2_R_1,S_G2_I_1,S_G3_A_1,S_G3_R_1,S_G3_I_1,S_G4_A_1,S_G4_R_1,S_G4_I_1,S_G5_A_1,S_G5_R_1,S_G5_I_1,S_S1_A_1,S_S1_R_1,S_S1_I_1,S_S2_A_1,S_S2_R_1,S_S2_I_1,S_S3_A_1,S_S3_R_1,S_S3_I_1,S_S4_A_1,S_S4_R_1,S_S4_I_1,S_S5_A_1,S_S5_R_1,S_S5_I_1,R_G1_A_1,R_G1_R_1,R_G1_I_1,R_G2_A_1,R_G2_R_1,R_G2_I_1,R_G3_A_1,R_G3_R_1,R_G3_I_1,R_G4_A_1,R_G4_R_1,R_G4_I_1,R_G5_A_1,R_G5_R_1,R_G5_I_1,R_S1_A_1,R_S1_R_1,R_S1_I_1,R_S2_A_1,R_S2_R_1,R_S2_I_1,R_S3_A_1,R_S3_R_1,R_S3_I_1,R_S4_A_1,R_S4_R_1,R_S4_I_1,R_S5_A_1,R_S5_R_1,R_S5_I_1,P_G1_A_1,P_G1_R_1,P_G1_I_1,P_G2_A_1,P_G2_R_1,P_G2_I_1,P_G3_A_1,P_G3_R_1,P_G3_I_1,P_G4_A_1,P_G4_R_1,P_G4_I_1,P_G5_A_1,P_G5_R_1,P_G5_I_1,P_S1_A_1,P_S1_R_1,P_S1_I_1,P_S2_A_1,P_S2_R_1,P_S2_I_1,P_S3_A_1,P_S3_R_1,P_S3_I_1,P_S4_A_1,P_S4_R_1,P_S4_I_1,P_S5_A_1,P_S5_R_1,P_S5_I_1,Pol_S1_A_1,Pol_S1_R_1,Pol_S1_I_1,Pol_S2_A_1,Pol_S2_R_1,Pol_S2_I_1,Pol_S3_A_1,Pol_S3_R_1,Pol_S3_I_1,Pol_S4_A_1,Pol_S4_R_1,Pol_S4_I_1,Pol_S5_A_1,Pol_S5_R_1,Pol_S5_I_1,Pol_G1_A_1,Pol_G1_R_1,Pol_G1_I_1,Pol_G2_A_1,Pol_G2_R_1,Pol_G2_I_1,Pol_G3_A_1,Pol_G3_R_1,Pol_G3_I_1,Pol_G4_A_1,Pol_G4_R_1,Pol_G4_I_1,Pol_G5_A_1,Pol_G5_R_1,Pol_G5_I_1,M_G1_A_1,M_G1_R_1,M_G1_I_1,M_G2_A_1,M_G2_R_1,M_G2_I_1,M_G3_A_1,M_G3_R_1,M_G3_I_1,M_G4_A_1,M_G4_R_1,M_G4_I_1,M_G5_r_A_1,M_G5_r_R_1,M_G5_r_I_1,M_S1_A_1,M_S1_R_1,M_S1_I_1,M_S2_r_A_1,M_S2_r_R_1,M_S2_r_I_1,M_S3_A_1,M_S3_R_1,M_S3_I_1,M_S4_r_A_1,M_S4_r_R_1,M_S4_r_I_1,M_S5_A_1,M_S5_R_1,M_S5_I_1,C_1_A_1,C_1_R_1,C_1_I_1,C_2_A_1,C_2_R_1,C_2_I_1,C_3_A_1,C_3_R_1,C_3_I_1,C_4_A_1,C_4_R_1,C_4_I_1,C_5_A_1,C_5_R_1,C_5_I_1
5891da1e39f3830001767a0c,51-55,Female,High/Secondary School/GCEs or equivalent,White: English/Welsh/Scottish/Northern Irish/British,Atheist,Atheist,Atheist,Labour,7,7,3,5,6,2,6,6,0,6,6,0,7,8,8,10,10,0,3,2,2,10,10,8,4,4,0,3,3,0,0,0,0,3,3,0,0,0,0,7,8,0,0,0,0,0,0,0,6,7,0,2,2,0,3,3,0,6,6,0,2,1,0,1,1,1,2,1,0,2,2,0,4,4,3,0,0,0,2,2,2,2,2,0,2,1,0,3,2,2,3,3,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,3,7,7,2,0,0,0,10,10,10,0,0,0,7,8,7,10,10,10,2,2,1,10,10,10,0,0,10,10,10,10,0,0,0,5,5,1,10,10,9,10,10,10,10,10,10,10,10,10
5ae777683b85e70001177312,31-35,Female,High School Diploma/A levels/BTEC/ IB or equivalent,White: English/Welsh/Scottish/Northern Irish/British,Atheist,Christian,Christian,Labour,10,7,6,6,6,5,6,6,5,7,7,7,9,9,10,10,9,8,10,9,6,9,9,9,7,8,8,9,6,5,7,7,8,5,4,4,9,8,8,6,7,7,8,9,9,4,3,3,8,7,8,5,5,5,5,5,5,10,10,10,7,8,8,5,5,4,3,5,4,5,5,5,2,8,7,5,5,5,0,8,9,5,4,5,6,5,5,5,5,5,5,5,5,9,7,7,10,10,10,10,10,10,10,10,10,8,9,7,7,7,7,1,8,9,5,4,5,10,9,8,0,9,10,0,10,9,2,4,5,2,7,8,10,10,10,3,2,2,10,9,10,0,9,6,7,6,7,0,8,7,8,9,8,10,10,10,10,10,10,10,10,10,9,9,9
5a04047bab721b0001ef7378,41-45,Male,"University Undergraduate Degree (e.g. BSc, BA, BEng)",White: English/Welsh/Scottish/Northern Irish/British,Atheist,Atheist,Atheist,SNP,0,5,5,9,9,8,9,9,9,10,10,10,10,10,9,10,10,10,8,8,8,8,8,8,7,7,7,10,10,10,0,0,0,0,0,0,5,5,5,10,10,10,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,7,6,6,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,5,5,5,3,3,4,4,4,4,7,7,7,0,0,0,0,10,10,0,0,0,4,4,4,10,10,10,0,10,10,10,10,10,0,10,10,10,10,10,0,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0
599869a66c165e000113fae5,31-35,Female,High School Diploma/A levels/BTEC/ IB or equivalent,White: English/Welsh/Scottish/Northern Irish/British,Christian,Christian,Atheist,I don't have any political affiliation,10,7,8,5,5,5,5,5,5,4,3,3,7,5,5,7,8,8,8,7,6,8,8,8,3,3,2,7,6,4,7,5,2,2,2,2,2,1,1,8,7,6,4,3,4,3,4,3,1,0,1,2,2,0,2,5,4,6,4,4,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,3,0,0,0,0,0,0,0,0,0,5,5,5,4,6,4,3,1,3,8,7,8,7,4,5,7,8,8,8,9,9,7,6,6,5,5,5,7,7,7,3,4,4,2,4,4,3,2,3,6,5,6,10,7,7,4,2,2,4,2,1,3,2,3,5,5,5,3,2,2,10,10,8,10,8,7,10,10,8,10,8,8,10,9,8
5aea25acd9f2be0001933493,26-30,Female,High/Secondary School/GCEs or equivalent,Mixed/ Multiple Ethnic Backgrounds: White and Black Caribbean,Atheist,Atheist,Atheist,I don't have any political affiliation,10,8,8,4,3,3,4,2,3,2,3,2,7,7,8,8,6,2,6,4,5,10,7,6,4,3,3,9,7,7,6,1,2,2,2,3,6,6,6,7,2,3,7,7,7,0,1,1,3,3,1,5,5,0,0,0,0,6,3,2,6,6,7,3,3,3,3,3,2,6,7,6,4,5,6,7,7,7,3,10,6,5,6,6,6,6,6,6,3,6,5,5,0,7,7,7,10,2,2,10,10,7,5,5,5,8,7,7,5,5,5,3,3,3,3,3,2,8,6,6,0,0,1,0,2,2,0,1,3,5,5,5,10,3,3,0,0,2,10,9,2,0,7,7,10,9,6,6,1,0,10,2,7,10,6,6,10,0,8,10,7,7,6,4,6
5a9baf7b4eecca0001dd8672,26-30,Female,Postgraduate Diploma (e.g. PGDip),White: English/Welsh/Scottish/Northern Irish/British,Atheist,Christian,Christian,Labour,8,8,8,5,5,5,6,6,6,5,5,5,7,7,7,10,10,10,9,9,9,3,2,2,9,9,9,9,7,7,6,6,6,1,1,1,5,5,5,8,5,5,3,3,3,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,6,6,5,5,5,5,1,1,1,5,5,5,6,6,6,10,10,10,5,5,5,6,6,6,5,5,5,4,4,4,10,9,9,10,10,10,10,10,10,10,10,10,8,8,8,9,9,9,9,9,9,3,7,7,7,7,7,8,8,8,0,10,10,0,8,8,1,1,1,5,5,5,10,10,10,1,9,8,10,9,9,0,10,10,5,5,5,4,5,5,6,6,6,10,10,10,10,10,10,6,6,7,9,6,8
588285ba396c3b0001441085,26-30,Female,"University Undergraduate Degree (e.g. BSc, BA, BEng)",White: English/Welsh/Scottish/Northern Irish/British,Agnostic,Christian,Agnostic,SNP,10,7,10,4,7,6,2,6,4,5,6,6,8,8,10,7,7,8,5,0,6,9,10,6,1,0,0,8,6,8,7,8,9,5,5,7,8,8,9,0,7,7,8,7,8,5,4,7,8,6,8,4,7,7,6,4,7,6,2,5,0,9,9,6,7,6,0,0,0,2,0,3,5,2,6,0,4,1,5,3,1,0,0,1,3,0,4,0,0,0,9,2,6,10,10,10,10,0,4,10,10,6,3,3,7,10,10,8,6,7,5,5,6,5,8,10,8,2,8,8,0,8,8,0,9,9,2,8,7,3,9,10,8,5,5,3,4,4,9,0,4,1,9,8,6,6,1,9,9,5,10,7,3,10,3,7,10,8,8,10,5,6,10,5,4
543e85adfdf99b7356902e90,41-45,Male,"University Undergraduate Degree (e.g. BSc, BA, BEng)",White: English/Welsh/Scottish/Northern Irish/British,Atheist,Christian,Christian,Labour,4,6,8,8,7,7,5,6,9,8,8,8,8,8,8,10,10,7,8,6,7,10,8,8,0,7,7,9,8,7,0,7,6,0,8,6,0,9,7,10,8,7,0,7,4,0,8,7,0,8,8,0,9,9,0,8,8,2,7,5,0,7,2,0,2,1,0,6,3,0,4,2,0,4,1,0,0,0,0,5,2,0,3,4,0,1,1,0,1,1,10,6,8,10,10,10,10,10,10,10,8,8,0,9,9,10,9,9,10,9,9,5,7,8,10,10,10,0,10,10,0,9,8,0,6,5,0,9,8,2,7,9,10,8,8,6,5,1,5,3,2,0,8,8,3,4,2,4,2,2,10,7,7,10,8,8,10,9,8,6,6,8,10,5,2
596276c3241f8d0001064b80,26-30,Female,"University Undergraduate Degree (e.g. BSc, BA, BEng)",White: English/Welsh/Scottish/Northern Irish/British,Atheist,Atheist,Atheist,Labour,8,6,10,2,5,4,4,5,8,8,8,8,10,8,9,8,5,6,8,4,3,9,9,10,6,6,7,9,9,10,1,1,7,0,0,0,0,0,0,6,5,6,2,3,3,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,3,0,0,0,0,0,0,10,9,9,10,10,10,10,10,10,10,10,10,1,2,1,9,8,8,10,9,10,3,4,4,4,5,4,6,5,4,0,0,0,0,0,0,2,9,7,3,3,1,10,7,8,2,3,4,8,8,3,0,0,0,6,7,3,5,5,4,10,10,10,10,10,9,10,10,10,10,10,10,10,10,7
55688d98fdf99b5bec8c8ba9,56-60,Female,"Masters Degree (e.g. MA, MSc, MSci)",White: English/Welsh/Scottish/Northern Irish/British,Christian,Christian,Christian,SNP,7,3,5,8,7,7,5,5,5,4,7,5,9,6,9,8,9,8,10,0,6,4,7,6,5,0,5,7,1,6,9,9,7,6,8,7,6,9,7,2,8,2,6,9,7,6,8,6,6,8,6,6,8,6,7,7,7,6,9,7,3,7,3,3,4,6,3,0,4,1,1,1,4,0,4,0,0,3,4,1,3,0,0,0,1,1,3,0,0,0,8,1,8,6,7,6,7,1,8,10,10,10,4,0,6,8,3,7,8,8,7,8,6,9,4,7,7,8,6,7,0,4,8,1,6,8,3,3,4,4,2,3,10,3,10,6,6,6,7,1,7,1,1,7,6,6,6,2,2,7,9,2,6,10,0,4,10,10,10,8,9,9,10,0,7
59f58787603b810001f6f6bf,41-45,Male,"University Undergraduate Degree (e.g. BSc, BA, BEng)",White: English/Welsh/Scottish/Northern Irish/British,Christian,Christian,Christian,Conservative,8,10,10,6,6,7,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,9,9,8,0,0,0,10,10,10,7,5,5,0,0,0,9,9,8,10,10,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,6,6,6,6,3,3,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,2,2,5,9,10,10,10,5,5,10,10,10,10,10,10,8,8,7,10,5,5,6,5,2,5,5,4,10,10,7,0,3,2,0,0,0,2,10,10,7,6,6,10,5,7,0,5,5,10,10,10,0,10,0,10,10,10,0,10,10,10,10,9,10,10,10,10,9,2,10,0,0,10,10,10
597aab70fd9fe50001166ba0,31-35,Male,"University Undergraduate Degree (e.g. BSc, BA, BEng)",Mixed/ Multiple Ethnic Backgrounds: White and Asian,Agnostic,Christian,Christian,I don't have any political affiliation,6,8,10,9,8,8,5,8,8,6,6,7,10,10,10,10,8,8,8,3,2,10,8,8,3,1,1,8,7,6,4,3,3,3,3,4,4,2,2,5,4,1,2,5,6,5,0,0,3,3,2,0,9,7,0,10,10,0,1,1,1,2,3,0,0,0,0,0,0,4,5,6,0,0,0,3,2,2,0,0,1,2,0,0,2,1,0,0,0,0,9,5,4,10,8,8,10,4,6,10,6,4,4,4,6,6,7,9,10,10,10,8,10,10,4,6,5,8,6,6,0,10,9,0,7,7,0,7,7,5,5,5,10,10,10,0,10,9,10,9,9,0,6,7,10,9,9,0,10,10,10,8,8,10,4,2,10,10,10,8,6,5,10,1,1
5a2d613cd60f910001562472,36-40,Female,"Masters Degree (e.g. MA, MSc, MSci)",White: English/Welsh/Scottish/Northern Irish/British,Christian,Christian,Christian,Labour,10,5,6,7,7,7,3,3,3,1,3,2,7,8,7,10,10,9,3,7,8,8,7,7,8,8,8,8,7,8,9,9,9,8,8,8,8,9,9,0,8,9,8,8,8,9,7,7,10,9,9,8,8,7,3,3,3,9,7,8,0,8,8,2,7,7,2,2,2,2,8,8,2,3,2,0,1,1,10,2,1,0,3,1,3,2,2,2,3,2,3,6,7,10,10,10,6,6,9,10,8,8,8,7,6,8,6,7,8,7,7,3,3,7,3,5,5,7,7,7,0,8,8,0,8,8,2,3,2,3,7,3,10,9,9,0,7,8,10,9,10,0,4,5,0,8,7,0,8,7,10,10,9,10,7,7,10,10,9,9,8,8,9,10,9
,26-30,Female,"University Undergraduate Degree (e.g. BSc, BA, BEng)",White: English/Welsh/Scottish/Northern Irish/British,Christian,Christian,Christian,I don't have any political affiliation,9,6,4,5,5,2,4,6,6,0,7,8,9,3,8,8,1,5,10,10,10,10,9,10,1,1,6,9,6,6,5,0,5,5,6,6,5,6,6,5,7,7,4,1,5,5,5,6,6,6,7,0,6,8,5,4,6,0,7,7,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,9,10,9,10,10,9,3,6,10,9,10,3,4,5,6,2,7,8,7,7,5,7,7,1,9,9,4,6,6,0,9,9,0,8,8,0,8,9,10,7,5,10,7,9,4,6,6,4,6,6,0,3,3,8,4,8,4,4,6,10,7,7,10,2,2,10,9,7,10,5,7,10,1,1
5ac27ff40527ba0001c1fa60,18-25,Female,"University Undergraduate Degree (e.g. BSc, BA, BEng)",White: English/Welsh/Scottish/Northern Irish/British,Christian,Christian,Christian,SNP,8,4,5,4,4,3,8,4,3,5,5,5,10,9,6,9,4,7,10,6,4,10,10,10,5,5,5,10,6,6,5,5,5,2,4,1,6,6,6,5,5,5,5,5,5,3,4,4,5,5,4,5,5,5,2,7,6,6,4,3,3,4,6,4,3,3,1,1,2,2,3,0,6,3,1,1,2,0,1,2,0,0,6,0,2,0,0,5,5,5,9,7,8,10,10,10,10,7,10,10,10,10,4,7,7,10,9,9,10,10,7,5,5,5,7,7,8,3,7,7,0,6,7,0,6,6,0,7,5,3,7,7,10,10,0,5,4,1,5,5,5,0,9,9,6,4,4,8,7,5,10,10,5,10,6,6,10,5,6,10,7,6,10,10,5
58395e80684ad00001e9f8ef,36-40,Female,"University Undergraduate Degree (e.g. BSc, BA, BEng)",White: English/Welsh/Scottish/Northern Irish/British,Atheist,Christian,Christian,Conservative,9,9,9,4,4,4,3,3,3,3,4,2,10,9,9,10,10,10,7,7,7,10,10,10,5,5,5,9,9,9,4,4,9,1,1,0,6,4,6,8,3,2,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,6,2,8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,10,5,4,4,5,1,0,0,1,1,1,10,10,9,8,8,8,10,1,4,10,10,10,6,4,4,6,3,4,9,9,9,8,8,8,3,8,3,9,9,8,0,0,0,0,0,0,3,2,3,5,4,5,10,0,6,0,1,0,10,10,9,0,0,0,10,9,9,1,1,1,10,10,10,10,0,0,10,10,10,10,10,10,10,0,0
5a999ac86219a30001d340c6,46-50,Male,"University Undergraduate Degree (e.g. BSc, BA, BEng)",White: English/Welsh/Scottish/Northern Irish/British,Atheist,Christian,Christian,Liberal democrat,7,10,10,10,10,10,10,7,7,6,5,6,10,10,9,10,10,10,5,5,5,10,10,10,0,5,0,10,10,10,0,0,0,0,0,0,0,0,3,10,5,5,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,5,8,8,10,5,5,10,0,5,5,5,5,4,4,4,7,10,10,7,7,6,5,8,7,6,6,6,0,5,5,0,7,7,0,5,5,5,4,4,10,5,6,0,5,5,6,5,4,0,7,6,10,5,5,0,2,2,10,10,10,10,5,6,10,6,6,10,5,5,10,7,5
,51-55,Female,"University Undergraduate Degree (e.g. BSc, BA, BEng)",White: English/Welsh/Scottish/Northern Irish/British,Christian,Christian,Christian,Other (please write),10,3,4,8,5,5,4,3,3,8,6,4,8,9,9,10,0,5,9,5,5,10,10,9,6,5,5,10,10,8,7,7,2,8,6,8,8,8,8,0,10,2,7,7,6,8,8,6,5,5,5,5,5,3,3,5,3,10,10,8,7,2,2,4,3,3,3,1,1,3,3,3,1,1,1,2,2,1,0,0,0,3,1,1,5,5,5,5,1,1,9,9,9,10,10,10,10,5,5,10,10,10,10,7,4,7,5,5,10,10,10,2,5,5,6,5,4,0,6,6,0,3,3,0,8,8,0,4,4,6,2,2,10,2,6,0,7,6,10,5,2,0,7,4,10,10,6,0,0,0,10,10,8,10,5,3,10,8,4,10,5,5,10,5,5
5ac22ce01667e40001d842d0,26-30,Female,High School Diploma/A levels/BTEC/ IB or equivalent,White: English/Welsh/Scottish/Northern Irish/British,Christian,Christian,Christian,Labour,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,5,5,5,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,7,7,7,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,0,5,5,5,5,5,5,5,5,10,10,10,0,5,5,10,10,10,5,5,5,10,10,10,0,5,5,10,10,10,10,5,5,7,7,7,10,10,10,10,10,10
57051842de5095000a18ee63,56-60,Male,"University Undergraduate Degree (e.g. BSc, BA, BEng)",White: English/Welsh/Scottish/Northern Irish/British,Agnostic,Christian,Christian,Green,1,9,9,10,10,10,10,10,10,10,10,10,9,9,9,10,10,8,5,1,6,10,10,10,2,0,6,10,10,10,1,5,8,0,5,5,1,6,8,9,8,8,0,5,7,2,0,7,1,0,9,1,5,8,1,1,6,5,2,6,0,5,7,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,0,7,7,10,10,10,10,10,10,6,6,7,8,8,9,8,9,9,7,7,9,9,9,9,3,7,8,0,8,7,0,8,8,0,5,5,5,5,4,10,10,10,0,5,6,10,10,7,0,10,10,10,10,10,0,8,8,10,10,10,10,5,5,10,10,10,5,1,1,10,5,0
5838861383a1cc0001f3f258,41-45,Female,Postgraduate Diploma (e.g. PGDip),Asian/ Asian British: Chinese,Spiritualist,Buddhist,Buddhist,SNP,8,8,10,4,6,6,3,6,7,6,6,7,6,6,7,8,7,8,7,2,6,9,8,9,5,6,6,9,7,8,9,9,10,6,5,7,3,7,8,4,4,7,8,6,9,5,1,4,6,2,6,3,7,7,7,4,8,7,7,9,6,6,8,6,5,7,5,1,7,6,6,8,6,5,6,6,7,8,4,3,6,7,6,9,6,5,6,6,6,7,6,6,7,9,9,10,9,3,8,10,10,10,3,1,4,7,7,8,8,8,7,4,5,6,7,6,7,7,7,8,1,8,9,3,6,7,4,7,7,5,6,7,10,9,9,6,3,4,9,9,8,1,2,6,7,8,8,7,7,7,8,6,8,10,7,9,8,7,8,6,6,7,9,7,8
59c10c7e5364260001dc47e6,18-25,Female,"Masters Degree (e.g. MA, MSc, MSci)",White: English/Welsh/Scottish/Northern Irish/British,Christian,Christian,Christian,Liberal democrat,10,5,8,4,5,8,8,5,6,5,5,5,7,7,8,8,5,8,10,5,5,8,5,7,4,4,5,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,7,2,5,5,5,5,5,0,5,7,2,4,7,3,5,3,5,5,5,7,8,8,8,5,5,5,5,5,7,7,8,5,5,8,8,7,5,5,5,5,6,4,4,5,3,4,10,8,10,8,7,8,10,2,6,10,10,10,6,2,5,8,7,7,7,7,6,3,6,6,5,5,4,7,5,4,0,5,10,1,9,9,0,10,10,5,5,5,10,10,10,0,8,8,7,2,5,0,8,10,2,8,5,9,9,9,10,5,10,10,5,8,10,8,10,10,5,7,10,5,5
5accded9a3ba7a0001b504e5,36-40,Female,"University Undergraduate Degree (e.g. BSc, BA, BEng)",White: English/Welsh/Scottish/Northern Irish/British,Atheist,Atheist,Atheist,Labour,6,8,9,9,7,0,10,8,2,10,8,7,10,9,9,10,8,7,10,9,6,10,8,6,0,0,0,10,9,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,7,7,3,10,0,0,10,6,3,7,2,1,10,5,0,10,5,1,2,1,0,6,8,5,1,1,0,0,1,0,1,3,1,2,1,1,5,5,5,10,6,2,7,3,1,6,3,0,0,7,3,4,2,0,3,2,0,10,9,10,10,3,0,10,0,0,10,2,0,10,0,0
594fb335ab3b160001b91b84,26-30,Female,High/Secondary School/GCEs or equivalent,White: English/Welsh/Scottish/Northern Irish/British,Atheist,Christian,Atheist,Labour,10,8,6,3,7,5,2,7,4,2,7,8,9,8,9,8,2,3,7,10,3,10,10,8,8,6,7,10,9,10,9,8,9,1,6,2,8,7,8,9,8,1,4,7,5,0,2,1,3,6,3,3,2,6,0,8,8,8,3,2,6,8,7,2,8,3,1,3,2,7,8,8,0,8,2,0,1,2,8,7,9,8,9,8,1,0,0,7,8,8,10,9,10,10,10,10,10,8,8,10,10,10,8,0,0,10,8,8,8,7,7,1,8,8,2,9,8,10,9,10,0,10,8,0,10,10,0,10,8,8,6,1,10,10,10,1,7,7,3,2,2,0,10,10,10,10,10,0,6,10,10,10,9,10,10,10,10,9,9,10,10,6,10,10,10
5a7c5976f49c9a0001f334fc,26-30,Female,High School Diploma/A levels/BTEC/ IB or equivalent,White: English/Welsh/Scottish/Northern Irish/British,Atheist,Atheist,Atheist,I don't have any political affiliation,8,9,10,7,7,6,6,6,8,8,9,9,10,10,10,9,9,8,7,9,10,9,8,7,1,1,2,10,10,10,1,1,3,1,1,2,1,1,2,7,2,4,1,1,2,1,1,2,1,1,2,0,1,2,1,1,1,4,1,1,1,1,2,1,4,2,1,1,3,3,3,5,1,1,2,1,1,2,1,1,1,1,1,2,3,1,3,1,1,2,8,8,8,10,9,9,9,3,5,10,9,9,4,7,6,10,9,9,9,9,7,6,6,6,7,7,6,4,4,4,0,5,3,1,6,6,2,3,3,5,5,5,10,9,10,3,5,5,7,5,5,3,5,7,7,5,5,2,5,5,10,5,5,10,5,10,10,8,9,8,7,9,10,2,5
5a4a93ab35c9d50001fdd082,36-40,Female,Postgraduate Diploma (e.g. PGDip),White: English/Welsh/Scottish/Northern Irish/British,Agnostic,Christian,Christian,I don't have any political affiliation,8,7,10,6,6,6,7,6,8,4,6,7,8,8,8,10,5,3,9,6,7,8,7,8,2,6,7,9,7,9,6,6,10,2,2,0,6,8,10,5,5,7,6,6,6,0,9,0,5,4,6,0,10,2,3,6,7,5,5,5,4,4,8,1,1,1,2,3,2,1,1,1,2,2,2,1,1,1,0,0,0,2,4,8,2,2,6,2,1,6,6,3,5,3,5,7,10,8,7,6,6,7,3,3,3,7,7,7,9,8,8,6,6,7,6,7,7,4,6,7,0,7,6,0,7,7,3,6,6,6,6,2,10,7,7,4,3,1,9,8,3,1,7,6,3,5,3,3,4,4,9,7,7,10,6,6,10,7,6,8,7,7,10,4,5
,18-25,Female,"University Undergraduate Degree (e.g. BSc, BA, BEng)",White: English/Welsh/Scottish/Northern Irish/British,Atheist,Atheist,Atheist,I don't have any political affiliation,8,8,8,5,6,6,4,9,9,6,6,6,9,8,8,9,7,6,9,9,9,6,7,7,1,1,1,9,9,8,3,4,7,0,8,2,2,7,6,7,7,7,3,3,4,5,3,5,2,2,2,6,6,6,3,6,6,5,5,5,3,6,2,3,3,3,5,5,5,6,6,8,4,4,4,2,2,2,1,1,1,1,1,1,3,3,3,1,1,1,10,10,10,9,9,9,10,10,10,10,10,10,4,6,7,8,8,9,7,6,6,4,4,5,6,6,6,5,5,5,3,3,4,1,9,9,3,7,7,6,4,6,10,9,10,5,4,3,5,5,3,3,6,4,4,6,6,6,4,6,10,10,10,10,10,10,10,10,10,4,6,8,10,10,10
5984383935fbf100017d1ae7,36-40,Male,High/Secondary School/GCEs or equivalent,White: English/Welsh/Scottish/Northern Irish/British,Atheist,Christian,Christian,Labour,10,10,9,3,2,5,2,5,6,2,5,6,9,9,7,10,9,8,7,7,5,9,8,7,7,7,7,8,8,7,5,5,10,0,0,7,0,3,2,10,10,10,0,0,0,0,10,8,0,0,0,10,10,10,0,7,7,0,5,1,10,10,10,0,0,0,10,10,10,0,0,0,1,0,0,0,1,2,0,7,2,0,1,0,0,3,3,8,8,5,5,5,5,10,10,10,10,1,7,10,5,7,0,8,6,9,9,7,5,8,8,10,8,9,5,8,8,10,10,10,0,10,10,0,8,8,0,5,8,5,5,6,10,10,10,0,10,8,9,7,5,0,10,0,0,8,9,10,10,10,9,8,8,10,1,5,5,8,10,10,10,10,10,9,9
59d0bbc1f7b7a000011981a7,18-25,Female,High/Secondary School/GCEs or equivalent,White: English/Welsh/Scottish/Northern Irish/British,Agnostic,Agnostic,Agnostic,I don't have any political affiliation,10,3,6,8,6,6,6,5,5,3,5,5,8,6,7,8,5,6,4,7,8,6,3,1,7,6,6,4,7,7,4,5,7,3,3,2,5,5,6,5,3,2,6,3,4,1,1,1,5,3,2,7,3,2,6,3,2,9,5,5,4,4,5,2,2,2,6,4,3,2,1,2,8,2,2,3,2,2,2,2,2,2,2,2,5,1,1,3,2,2,7,7,7,10,7,7,10,7,8,10,7,7,1,7,7,8,6,6,6,4,3,6,5,5,1,2,3,9,8,8,0,7,5,0,8,8,0,6,2,6,5,4,10,7,7,0,6,3,7,3,1,0,7,5,7,6,6,5,2,1,9,5,4,10,3,4,7,7,6,7,3,2,5,1,0
