pp	BIS1	GDP2	FFFS3	BIS4	RWR5	GDP6	BIS7	RWI8	BIS9	RWI10	FFFS11	BIS12	GDP13	RWR14	IMP15	GDP16	FFFS17	GDP18	RWI19	BIS20	IMP21	RWR22	IMP23	GDP24	FFFS25	BIS26	RWR27	FFFS28	RWI29	BIS30	RWI31	BIS32	IMP33	RWR34	FFFS35	IMP36	GDP37	BIS38	RWI39	BIS40	FFFS41	BIS42	IMP43	RWR44	FFFS45	BIS46	RWI47	FFFS48	GDP49	RWI50	BIS51	BIS52	FFFS53	GDP54
1	3	3	2	3	4	4	3	3	4	3	2	4	3	3	1	3	2	2	3	3	4	4	3	4	3	4	3	2	3	2	3	2	1	2	2	2	3	2	4	4	4	3	1	3	2	3	4	2	3	3	4	3	2	4
2	3	2	2	2	3	3	3	2	3	2	4	4	2	3	2	2	1	2	2	3	3	2	3	2	1	3	2	1	2	2	2	2	2	1	3	2	2	4	3	3	1	3	2	2	1	3	3	2	3	2	3	2	4	3
3	4	3	4	3	4	4	3	4	3	2	1	3	4	4	2	3	1	3	4	2	3	4	3	4	3	2	3	2	4	1	4	1	3	1	4	1	3	2	4	2	1	3	3	3	1	2	3	3	4	3	1	2	4	4
4	1	4	1	3	4	4	1	1	2	4	1	4	4	4	4	4	4	4	4	1	4	4	4	4	3	4	4	1	2	3	4		4	4	4	4	4	4	4	1	4	4	4	4	1	4	4	4	4	4	1	4	1	4
5	2	4	1	1	2	4	2	4	2	4	2	3	4	4	2	4	1	2	2	1	1	3	1	4	1	1	3	1	4	1	4	1	2	2	3	1	3	1	4	2	2	1	3	4	2	1	2	1	4	4	1	1	4	4
6	2	4	1	2	2	4	1	4	3	3	1	2	3	3	1	4	3	1	4	2	2	3	1	4	1	2	3	1	4	2	4	1	2	1	2	1	4	2	3	1	1	2	2	3	2	3	2	1	4	4	2	4	1	4
7	2	3	3	4	4	2	3	3	2	1	2	4	2	1	1	3	1	2	2	4	1	2	4	1	1	3	1	1	1	3	3	3	2	1	2	2	3	4	2	4	1	4	2	1	2	3	4	1	4	3	3	2	3	3
8	4	4	2	2	3	4	3	3	4	3	4	4	4	4	1	3	3	2	2	3	4	3	3	4	1	2	3	3	3	2	3	1	2	1	2	4	3	3	1	3	4	2	2	3	1	3	1	4	4	3	3	1	1	4
9	4	3	4	3	3	4	4	2	3	2	1	2	4	4	3	2	2	2	2	2	2	4	3	4	4	4	4	4	3	4	3	3	3	2	4	3	2	4	1	1	4	3	2	3	1	4		3	3	3	4	2	4	3
10	2	4	2	2	1	3	1	4	1	4	2	2	4	4	2	4	3	3	4	1	2	4	2	4	2	1	4	1	4	2	4	2	3	4	2	1	3	4	4	3	2	2	1	4	1	2	4	3	3	4	2	4	3	4
11	2	4	1	1	4	4	2	3	1	2	3	2	4	4	3	3	1	3	4	1	1	2	2	4	2	1	1	1	2	1	4	3	3	1	3	2	4	4	4	1	2	1	1	4	2	2	4	4	4	4	2	3	4	4
12	2	4	4	3	3	4	3	4	2	4	3	1	3	4	4	3	4	3	3	2	4	4	3	4	4	4	4	2	3	3	3	3	3	4	4	4	4	3	4	3	2	2	4	4	4	4	4	2	3	4	4	3	4	4
13	2	3	4	2	3	4	3	4	2	1	2	2	4	4	3	3	1	4	4	3	1	4	1	4	3	3	4	1	3	2	4	2	2	3	3	3	3	2	4	4	3	4	3	4	2	4	3	1	3	3	3	2	2	4
14	3	4	1	2	2	3	1	1	3	1	1	1	4	4	2	3	3	4	4	2	2	4	2	4	3	2	1	2	2	3	2	1	2	3	1	1	3	4	4	3	4	2	1	2	2	3	3	1	2	3	2	3	4	4
15	1	4	1	3	4	3	1	3	2	4	1	2	4	4	1	4	4	4	4	1	3	4	1	4	2	2	4	3	4	3	4	1	3	3	2	1	4	4	3	3	2	3	3	4	3	4	4	1	4	4	4	4	1	4
16	2	2	1	3	2	4	3	1	1	3	1	2	1	4	1	2	2	3	4	2	1	3	2	4	1	2	3	1	1	4	4	1	4	2	2	1	2	4	4	1	2	3	1	3	4	4	4	1	1	4	1	4	1	3
17	3	2	2	2	3	3	3	2	3	2	3	2	3	4	2	2	2	2	3	2	2	3	3	3	2	3	3	2	2	3	3	2	2	2	1	1	2	4	3	3	4	4	2	3	1	3	2	2	3	4	2	1	3	3
18	2	3	1	4	1	3	2	2	1	2	4	2	3	4	3	3	4	3	4	2	2	3	3	3	3	4	4	4	3	3	4	2	3	2	4	3	2	4	4	2	4	2	1	3	2	2	4	4	1	4	4	3	4	3
19	2	3	3	3	4	4	4	1	3	2	4	3	3	4	2	4	3	3	2	4	3	4	1	4	2	4	4	4	3	4	4	3	2	1	4	3	3	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	4	4
20	3	3	1	3	3	4	4	2	4	3	2	3	3	4	1	3	3	2	3	2	1	4	3	4	2	4	4	4	2	4	4	4	1	3	2	2	3	4	4	4	4	4	1	4	2	4	3	2	3	3	4	4	4	3
21	1	2	2	1	3	2	3	2	4	3	2	1	2	2	1	2	2	2	2	1	1	3	1	3	2	1	3	3	2	3	4	2	1	2	4	1	2	4	4	2	1	2	1	3	3	4	4	2	2	2	3	4	1	2
22	2	3	3	3	3	4	4	4	3	3	1	1	2	3	1	2	1	2	4	2	4	4	4	3	1	4	3	2	3	4	4	2	4	4	4	2	1	4	4	3	2	3	2	2	3	4	2	1	2	3	4	4	1	3
