pp	BIS1	GDP2	FFFS3	BIS4	RWR5	GDP6	BIS7	RWI8	BIS9	RWI10	FFFS11	BIS12	GDP13	RWR14	IMP15	GDP16	FFFS17	GDP18	RWI19	BIS20	IMP21	RWR22	IMP23	GDP24	FFFS25	BIS26	RWR27	FFFS28	RWI29	BIS30	RWI31	BIS32	IMP33	RWR34	FFFS35	IMP36	GDP37	BIS38	RWI39	BIS40	FFFS41	BIS42	IMP43	RWR44	FFFS45	BIS46	RWI47	FFFS48	GDP49	RWI50	BIS51	BIS52	FFFS53	GDP54
115	3	3	4	2	3	4	1	4	2	4	3	1	4	4	2	4	4	4	4	1	2	4	3	4	1	2	3	1	4	2	4	2	2	4	4	2	4	2	4	4	3	3	1	3	1	3	4	1	3	4	2	3	4	4
116	1	4	2	1	2	3	1	4	2	1	1	1	3	3	1	3	3	1	4	1	3	3	1	3	1	1	2	1	3	1	3	2	3	2	2	1	2	1	1	2	4	2	2	3	1	1	1	1	3	1	1	1	1	3
117	3	4	2	2	3	4	2	3	3	3	1	1	3	4	2	4	3	3	3	1	3	4	2	4	2	2	4	2	3	2	4	2	2	3	2	2	4	4	3	3	2	2	1	4	2	3	3	4	3	3	2	3	2	4
118	1	4	1	3	2	4	2	2	2	3	2	1	3	4	1	3	1	3	4	1	4	4	2	4	1	3	3	2	2		4	2	2	2	1	1	4	3	4	3	1	2	1	4	1	3	4	2	3	4	3	3	2	4
119	1	2	3	2	2	2	1	1	4	1	1	4	2	1	1	1	2	1	3	1	3	2	4	2	2	3	2	1	1	3	2	1	2	1	4	1	2	2	1	2	4	2	1	2	1	4	1	2	2	1	2	2	2	2
1192	4	4	1	4	2	4	4	2	4	1	1	4	4	4	1	4	2	4	4	4	1	4	1	4	1	4	3	2	3	4	4	1	3	4	3	1	4	3	1	3	1	4	3	4	2	4	3	1	4	2	3	1	2	4
120	2	4	4	3	2	4	4	4	2	2	1	2	3	4	4	3	1	3	4	2	4	4	1	4	2	4	3	1	3	3	4	1	4	3	3	1	4	4	4	1	2	3	3	3	2	4	4	1	2	4	3	4	1	4
121	3	3	4	2	3	4	3	1	4	3	4	3	2	3	2	2	1	2	4	2	1	3	2	4	1	2	3	2	3	2	4	1	2	3	4	2	4	2	4	3	3	2	2	3	1	4	3	2	2	3	2	1	1	4
122	4	4	1	2	3	4	3	3	4	4	1	4	3	4	3	4	1	3	4	3	1	4	1	4	4	2	4	4	3	3	4	3	3	3	4	2	4	2	4	4	1	4	2	4	2	3	3	1	3	3	3	1	2	4
123	1	2	1	1	1	3	1	4	3	4	4	3	1	4	3	2	3	2	3	1	3	4	2	1	2	3	4	3	1	3	4	1	4	3	4	4	4	2	4	3	2	2	3	3	2	1	2	3	3	3	2	1	4	3
124	1	3	1	1	2	4	3	1	4	3	2	1	3	4	2	3	2	3	1	1	2	2	2	4	2	1	3	2	1	1	3	1	2	3	1	3	4	2	4	3	1	1	3	3	1	2	4	4	2	2	2	1	4	3
125	2	3	4	3	4	3	1	2	3	2	4	2	2	4	3	2	2	3	3	1	2	4	4	3	2	2	4	4	2	1	2	2	2	4	2	1	2	1	1	3	4	2	3	4	2	3	3	4	4	3	1	1	4	3
126	3	4		2	3	4	3	2	4	3	4	3	3	4	1	3	3	2	3	2	4	4	4	3	3	4	4	4	3	4	2	3	1	3	4	3	3	4	3	4	4	4	1	4	3	4	4	4	3	2	4	3	4	3
127	3	3	2	2	3	3	2	2	1	3	2	1	3	4	2	3	2	3	3	2	2	3	3	3	2	2	3	2	3	2	3	2	2	4	3	1	3	2	3	3	2	2	1	3	2	4	3	2	3	3	3	3	3	3
128	3	3	2	3	3	4	3	3	1	2	3	1	3	4	1	3	2	3	3	3	4	4	3	4	1	3	2	1	3	3	3	3	2	3	4	2	2	3	4	3	2	3	2	3	2	3	2	1	3	4	2	2	3	4
129	2	2	1	3	4	4	4	3	4	3	1	4	2	4	4	3	2	2	3	4	4	3	3	4	2	3	4		3	3	2	3	4	3	4	1	4	4	3	3	1	3	3	4	3	3	4	4	4	2	3	2	3	4
130	3	2	3	2	4	4	3	1	3	1	4	3	1	3	1	2	3	2	2	2	3	4	3	3	3	3	4	3	1	3	2	3	1	2	3	1	2	3	1	4	3	4	2	4	3	2	1	3	3	1	2	2	4	3
131	3	3	2	2	4	4	4	1	4	2	4	4	2	4	4	4	1	2	3	1	4	4	2	4	2	3	4	4	2	1	2	1	2	1	4	4	2	2	1	4	4	4	3	4	1	4	4	2	4	2	4	4	4	4
132	2	4	4	1	4	4	3	1	4	1	2	3	4	4	1	4	1	3	3	2	2	4	1	4	1	2	4	3	1	2	3	2	1	1	4	1	3	1	3	4	4	2	2	4	2	4	4	2	4	3	4	2	4	4
