pp	BIS1	GDP2	FFFS3	BIS4	RWR5	GDP6	BIS7	RWI8	BIS9	RWI10	FFFS11	BIS12	GDP13	RWR14	IMP15	GDP16	FFFS17	GDP18	RWI19	BIS20	IMP21	RWR22	IMP23	GDP24	FFFS25	BIS26	RWR27	FFFS28	RWI29	BIS30	RWI31	BIS32	IMP33	RWR34	FFFS35	IMP36	GDP37	BIS38	RWI39	BIS40	FFFS41	BIS42	IMP43	RWR44	FFFS45	BIS46	RWI47	FFFS48	GDP49	RWI50	BIS51	BIS52	FFFS53	GDP54
29	2	2	2	2	3	3	1	2	2	3	1	2	3	3	3	2	1	3	3	2	4	3	2	3	3	2	3	2	3	2	4	2	4	4	1	4	3	2	2	3	1	2	4	4	1	2	4	1	3	3	3	2	1	3
30	2	4	2	2	3	4	2	1	4	1	2	1	4	4	3	4	4	4	3	1	3	4	4	4	3	2	4	3	4	2	4	1	2	3	3	2	4	4	4	3	1	1	4	4	2	2	3	4	4	4	2	2	4	4
31	1	3	1	1	1	3	1	4	1	4	1	1	4	4	2	4	1	4	4	1	3	3	4	4	1	1	2	1	4	2	4	1	2	1	2	1	3	2	4	3	2	1	1	4	1	1	3	1	4	4	3	4	1	4
32	2	4	2	3	2	4	2	4	3	3	1	2	4	3	1	4	2	4	4	1	1	4	2	4	2	3	4	1	3	3	3	1	1	2	1	1	4	3	1	4	4	2	2	4	2	3	1	2	4	3	3	4	2	4
33	2	3	1	2	2	2	3	3	4	2	2	2	3	4	3	2	2	3	4	1	3	2	3	2	3	4	3	2	3	4	4	1	3	2	2	1	2	4	4	2	1	2	3	3	1	3	4	2	2	3	3	2	3	3
34	3	4	3	4	3	3	3	2	3	1	2	4	2	3	1	4	4	2	2	4	3	2	2	3	2	2	2	2	2	3	2	4	2	3	1	2	2	4	4	3	2	3	1	2	2	2	3	3	2	3	2	4	3	4
35	4	2	1	4	2	2	3	4	4	4	1	4	2	3	4	2	1	2	2	4	2	2	3	2	3	4	3	3	3	4	3	2	3	1	2	3	2	4	4	4	1	4	3	2	1	4	2	2	2	3	3	3	1	2
36	1	4	3	2	4	4	2	4	3	2	4	3	3	4	1	4	4	3	4	1	2	4	1	4	1	2	4	4	4	2	4	3	1	4	4	1	4	4	1	4	3	3	1	4	2	4	2	4	4	4	1	1	4	4
37	1	4	1	3	3	4	1	4	1	3	2	1	4	4	2	4	2	3	4	1	3	4	3	4	1	2	4	1	4	2	3	2	3	2	1	2	4	3	3	3	4	2	2	4	2	2	3	1	4	3	2	3	2	4
38	1	4	2	2	3	4	2	4	4	4	1	4	4	4	1	4	2	4	3	1	3	3	3	4	1	2	3	3	3	1	3	2	2	3	2	2	4	2	4	2	3	3	2	3	1	2	3	1	4	3	2	2	1	4
39	1	2	1	3	4	3	1	1	1	2	4	1	1	4	1	3	1	1	2	2	3	4	4	3	4	4	4	3	1	2	4	3	1	4	4	4	3	4	3	3	4	2	2	4	3	3	1	4	1	2	3	4	4	2
40	1	3	2	2	4	3	4	4	4	3	1	3	2	3	3	2	2	2	3	2	4	4	3	3	2	3	3	2	3	2	4	1	2	2	3	1	2	4	4	3	3	1	3	3	2	1	3	1	4	4	3	3	2	2
41	3	4	2	1	3	4	2	4	1	2	4	1	3	3	2	4	1	3	4	3	2	3	4	4	2	2	4	2	4	1	4	1	3	3	4	2	4	3	4	3	1	3	3	4	1	2	4	2	4	4	2	3	4	4
42	1	3	1	2	3	4	3	4	4	3	4	1	3	3	4	3	1	2	4	1	2	3	1	3	1	1	4	1	4	2	4	3	4	1	2	3	4	2	4	4	1	2	4	3	1	3	4	3	2	4	1	3	4	3
43	4	4	3	4	3	4	4	1	4	2	1	4	2	4	4	4	1	3	2	4	4	4	4	4	4	4	4	3	2	4	2	3	4	4	1	2	4	4	4	4	1	4	4	4	2	4	1	1	3	2	4	4	2	3
44	1	3	1	2	3	3	1	1	2	1	2	3	2	3	2	2	3	2	2	2	2	3	1	2	4	2	3	2	3	2	2	4	2	2	2	1	3	4	3	4	3	4	1	3	4	3	4	4	4	3	3	2	4	3
45	1	1	1	1	3	3	1	4	1	1	1	1	1	4	1	1	1	1	4	1	3	1	1	2	1	1	3	1	4	1	4	1	1	1		1	1	1	4	1	1	1	1	1	1	1	4	1	3	4	1	1	1	2
46	2	3	1	4	3	4	3	2	4	3	2	4	4	4	3	3	2	3	2	3	3	4	3	4	1	3	3	1	3	3	4	2	3	4	1	2	4	4	3	3	1	3	4	4	2	4	3	2	3	3	4	4	2	4
47	1	4	1	1	4	4	1	4	2	3	2	2	4	4	3	3	1	4	4	1	2	4	1	4	1	1	4	1	4	1	4	1	3	4	2	1	4	2	3	2	2	1	1	4	2	2	2	2	4	4	1	2	1	4
48	1	3	1	1	1	2	1	3	2	1	1	2	2	3	2	2	2	1	2	1	2	1	1	1	1	2	2	1	2	2	4	1	2	1	2	3	2	4	4	2	1	1	1	2	1	2	3	1	3	3	2	2	3	4
49	1	2	3	4	4	4	2	2	4	1	2	4	2	4	3	2	1	1	3	2	3	4	1	3	2	4	3	4	1	3	4	3	4	3	1	2	1	4	4	4	4	4	3	2	2	4	3	2	3	3	2	4	4	3
50	1	4	2	1	3	4	1	3	2	2	3	1	4	4	2	4	1	3	4	1	2	4	2	4	1	2	4	1	4	1	4	1	3	4	1	2	4	3	4	1	1	1	3	4	1	1	3	1	2	4	1	1	2	4
51	2	3	1	3	2	4	4	4	2	3	1	1	3	4	3	3	1	3	3	2	2	3	4	4	2	2	4	2	4	2	4	2	4	4	2	3	4	4	3	4	1	3	4	4	1	3	3	3	3	3	3	4	1	4
52	3	1	3	3	2	4	4	1	1	3	1	4	1	4	4	2	1	1	3	3	1	2	4	4	1	3	4	1	1	2	4	1	3	2	2	1	3	3	4	2	1	1	3	3	1	2	4	1	3	4	2	4	1	4
53	3	3	1	3	2	3	4	2	3	2	2	2	1	3	1	3	2	3	3	3	2	4	2	3	2	4	3	3	2	4	3	4	2	2	3	1	3	3	3	3	3	4	2	3	2	4	2	2	4	2	4	1	1	3
54	1	2	4	3	4	3	2	2	2	3	1	1	4	3	2	3	4	3	3	1	2	4	3	3	3	1	4	2	2	2	3	2	3	1	3	1	3	4	2	4	2	4	2	4	2	3	2	1	3	4	3	1	3	3
55	2	3	2	4	4	4	4	4	4	1	2	3	3	2	1	3	4	2	3	3	1	3	2	2	2	3	1	2	4	2	4	3	1	2	3	1	2	4	2	3	2	2	1	3	2	3	1	3	4	3	2	1	4	3
56	2	4	4	1	2	4	3	1	4	3	1	4	2	4	3	3	3	2	4	3	2	3	3	4	2	2	3	4	3	2	3	3	1	4	4	2	4	3	2	4	1	3	1	4	1	3	3	2	4	2	2	1	3	4
57	4	4	2	4	4	4	2	3	1	4	4	2	3	4	2	3	2	4	3	4	3	4	2	4	1	2	4	2	3	3	2	3	2	1	1	2	2	4	1	4	1	3	1	4	4	4	2	4	2	2	4	4	1	1
58	2	3	1	2	3	4	1	3	2	4	1	1	4	4	3	3	4	3	4	1	2	3	4	4	2	3	4	1	3	3	4	1	4	4	2	1	3	4	4	3	2	2	3	4	1	2	4	1	3	4	3	1	1	3
59	1	4	4	3	2	3	1	1	2	3	1	1	4	3	1	3	1	3	2	1	1	3	1	4	2	1	3	2	3	1	3	2	2	1	2	1	3	3	2	3	1	2	1	2	1	3	2	1	4	2	1	3	4	4
60	4	3	1	4	4	4	4	3	4	4	2	3	3	4	4	4	4	3	4	4	1	4	1	4	1	4	4	1	3	2	4	1	4	1	1	2	4	4	4	1	1	4	4	4	3	4	4	4	2	4	4	4	4	4
61	4	3	1	3	1	2	3	1	3	1	2	4	3	1	2	1	1	1	2	4	1	3	1	2	1	3	1	2	4	2	2	1	2	2	4	1	1	4	4	4	4	4	1	2	1	4	3	3	3	4	4	3	3	3
62	3	3	3	2	2	3	3	3	1	2	1	3	3	2	2	3	1	2	3	3	4	3	3	3	2	3	3	4	3	3	3	3	1	2	3	1	3	2	3	3	4	3	1	3	2	3	4	4	4	3	3	2	2	3
63	1	4	2	1	4	4	3	2	4	1	1	3	3	3	1	3	1	3	4	2	2	3	4	4	1	3	2	1	3	3	4	1	2	1	2	3	4	4	3	4	1	2	1	3	3	4	4		2	4	3	3	1	4
64	3	3	3	4	3	4	4	1	4	2	2	4	2	3	2	2	3	2	3	3	2	3	4	4	2	4	3	2	1	4	2	3	1	1	4	3	2	1	3	2	4	3	1	2	1	4	3	2	3	2	4	3	4	4
65	3	3	1	3	2	4	2	2	4	4	1	4	4	4	3	3	2	3	4	2	2	2	2	4	2	3	3	1	4	3	4	1	2	1	2	1	3	4	4	3	1	2	3	3	1	3	3	2	4	4	4	4	3	4
66	3	3	2	3	1	2	3	3	4	2	3	4	2	3	1	3	3	2	3	3	4	4	4	3	1	3	3	1	4	4	3	3	2	3	3	1	3	3	1	2	1	3	2	3	2	4	3	1	3	3	2	4	3	3
67	4	3	2	2	2	4	3	4	4	2	1	4	3	4	4	3	1	2	4	3	3	4	4	4	1	2	4	2	4	3	4	1	4	2	4	3	4	4	4	4	2	4	3	4	1	4	4	2	4	4	4	4	2	3
68	1	4	1	2	3	4	4	2	4	4	1	3	4	4	3	4	4	4	4	1	2	4	1	4	1	4	3	1	4	4	4	1	2	1	1	2	4	4	4	3	1	3	1	3	1	3	4		1	4	3	4	1	4
69	4	3	4	4	4	3	4	2	4	4	1	4	3	4	2	2	1	2	2	4	1	4	3	4	1	2	3	1	2	3	3	2	3	4	3	1	2	4	3	4	1	4	3	4	1	4	4	3	2	3	4	4	3	4
70	2	4	1	2	4	4	2	3	4	1	1	2	3	4	1	4	3	4	3	2	4	4	2	4	1	1	2	1	4	1	3	1	1	4	1	2	4	4	2	2	1	2	2	4	1	2	4	1	4	3	2	4	1	4
71	4	3	3	3	2	4	4	3	4	1	1	4	4	4	2	3	2	4	3	4	2	3	2	4	2	4	3	1	3	4	4	1	2	2	3	1	4	4	1	4	1	4	2	2	1	4	4	2	4	4	3	1	1	3
72	3	1	2	3	2	4	3	1	3	2	3	2	3	3	1	1	3	2	2	3	1	2	1	4	3	1	2	4	2	3	2	3	1	2	4	1	2	4	3	2	1	3	4	2	4	4	4	3	4	2	3	1	2	4
73	1	4	4	2	3	4	3	2	4	1	4	1	4	3	1	4	3	4	4	2	1	4	2	4	1	1	2	2	2	1	4	2	2	2	1	2	4	2	3	3	1	4	4	4	4	1	4	2	4	3	1	3	4	4
74	2	3	2	4	4	4	4	4	2	3	4	1	3	4	1	3	3	2	2	2	1	2	3	4	2	4	4	2	2	4	4	2	2	2	2	1	3	2	4	4	2	4	2	4	2	4	3	2	4	4	4	2	4	4
75	1	4	2	1	1	4	1	4	3	3	2	1	3	4	1	3	3	2	4	1	4	2	1	4	2	2	4	2	2	1	4	2	2	3	4	3	3	4	3	4	4	2	1	3	1	4	1	3	4	4	4	3	3	4
76	1	2	1	1	1	3	1	2	1	2	4	1	3	4	2	2	1	3	2	1	1	2	2	2	1	1	4	2	2	2	4	1	3	2	3	2	4	2	4	1	1	1	3	4	2	3	4	1	4	4	3	1	4	3
77	4	3	4	3	4	4	3	2	3	4	3	2	1	4	4	3	3	2	3	1	4	4	4	4	4	2	4	1	3	4	4	3	4	3	3	3	3	2	3	3	2	4	4	4	3	4	3	4	4	3	3	2	4	3
78	2	3	1	4	3	3	3	3	2	1	1	4	2	3	1	3	4	1	3	3	1	3	2	2	2	4	2	4	2	4	2	2	3	2		1	4	2	4	2	1	3	3	2	1	4	2	1	2	3	4	4	3	3
79	3	2	2	3	4	4	3	2	4	4	1	2	4	4	1	3	2	4	2	3	2	4	4	4	3	3	3	2	2	3	4	1	1	2	3	2	3	3	1	3	2	4	2	4	1	3	3	4	3	2	3	1	1	3
80	4	4	3	3	4	2	2	3	3	1	2	1	4	3	1	2	4	3	3	2	4	4	3	2	2	2	2	3	2	3	3	1	1	1	4	1	3	2	1	4	4	4	1	4	1	3	2	3	3	4	2	1	1	3
81	3	2	2	3	2	2	3	2	3	3	2	4	2	3	1	2	1	1	2	1	1	2	1	3	1	4	1	1	2	2	3	1	1	1	2	1	2	4	3	3	1	3	1	1	2	3	1	2	3	2	2	3	1	3
82	3	2	1	4	2	4	1	4	2	3	1	2	3	4	2	3	1	3	3	1	3	3	2	3	2	4	4	1	3	1	3	1	2	4	3	3	4	2	4	3	4	2	1	3	1	4	4	2	4	3	4	3	2	3
83	2	3	1	3	4	4	4	3	1	2	1	1	3	3	3	3	4	3	4	3	1	4	4	3	2	3	4	1	3	2	3	2	3	4	2	1	3	3	4	1	4	2	2	4	1	2	4	1	3	4	1	3	1	3
84	1	2	2	2	3	2	1	3	4	4	1	2	2	3	3	2	1	2	2	1	4	3	3	3	1	1	2	1	2	1	4	1	2	2	1	2	2	1	1	3	1	2	2	3	2	4	1	1	3	3	2	1	1	2
85	2	3	1	2	2	4	4	2	2	3	1	2	3	3	3	3	2	2	3	2	4	4	4	3	2	4	4	1	3	4	3	2	2	1	3	1	4	3	4	4	1	2	2	4	2	3	4	3	4	3	2	4	4	4
86	1	3	3	2	3	4	1	3	2	3	1	4	4	4	3	3	1	4	3	1	2	3	3	4	1	1	4	1	3	2	4	2	4	4	4	4	4	4	4	1	1	3	4	4	1	4	4	2	1	4	4	4	1	4
87	1	4	1	2	4	4	2	2	3	3	2	3	3	3	3	4	2	3	4	2	2	4	2	3	1	3	4	1	2	2	4	2	4	3	2	2	3	3	4	3	2	2	1	4	2	2	4	2	3	4	3	2	3	4
88	2	4	2	3	2	4	2	4	3	4	3	2	4	4	3	3	2	3	3	1	3	4	3	4	3	3	2	3	4	3	4	2	2	2	3	2	3	4	4	4	3	3	1	3	2	4	4	4	2	4	3	4	4	4
89	3	3	2	3	4	4	4	2	3	3	2	4	3	4	1	4	2	3	3	3	3	4	2	4	3	2	3	3	3	3	4	2	2	1	1	1	4	4	1	4	4	4	2	4	2	1	1	2	4	3	3	2	4	4
90	1	3	3	2	3	3	1	3	4	4	2	2	4	3	1	2	1	2	3	1	3	4	3	2	2	3	4	2	3	2	3	2	3	1	3	2	2	3	4	2	1	2	2	3	1	1	3	1	3	4	1	3	2	2
91	3	3	1	4	2	3	4	4	4	4	3	4	2	4	1	2	1	3	4	4	2	3	3	4	2	4	4	2	3	4	4	4	2	1	2	2	1	3	4	4	1	4	2	3	2	4	2	3	4	4	4	3	3	3
92	2	3	2	2	4	4	1	4	1	3	1	1	4	4	1	3	4	4	4	2	3	4	3	4	1	2	3	1	4	2	3	3	1	3	3	1	4	4	3	3	2	3	2	3	1	2	3	1	4	3	2	2	1	4
93	2	4	1	2	2	2	1	4	3	3	1	3	3	4	3	4	2	3	4	1	3	2	1	3	3	2	3	1	3	3	4	3	3	2	3	1	3	4	3	4	1	2	3	4	1	3	4	2	3	4	3	3	2	4
94	1	4	3	1	2	4	1	2	1	3	2	1	3	4	1	4	1	4	3	1	1	3	1	4	1	1	4	1	3	1	3	1	1	2	4	1	4	4	1	3	4	2	2	3	3	1	4	2	4	2	1	2	4	4
95	1	4	2	3	2	4	1	2	2	4	4	2	2	4	3	4	2	2	3	2	3	2	4	4	1	3	4	2	4	3	3	2	2	1	2	4	4	3	4	2	3	2	2	4	2	3	4	2	4	3	4	1	4	4
96	2	4	2	4	4	4	4	3	4	4	1	3	4	4	1	4	2	4	4	1	4	4	3	4	4	4	4	1	4	4	4	2	1	4	2	1	4	4	2	4	4	4	3	1		4	1	2	4	3	4	3	1	4
97	4	2	2	4	3	2	4	1	4	2	2	4	1	3	4	1	2	1	3	4	4	3	4	3	3	3	2	2	2	4	4	2	4	1	2	3	1	4	3	2	1	4	4	4	2	4	4	1	2	3	4	4	4	3
98	2	3	1	1	3	4	1	2	3	4	1	1	3	3	2	3	4	3	4	1	4	3	1	3	1	3	3	2	2	3	4	2	2	2	2	3	2	2	3	2	1	2	4	4	2	4	3	4	4	4	2	3	3	4
99	3	4	1	3	4	4	4	1	2	2	2	1	4	4	3	4	1	3	1	2	4	4	3	4	2	4	4	4	2	3	3	4	3	2	3	3	3	4	1	4	1	4	2	4	2	4	2	2	4	1	4	4	2	3
100	1	1	4	1	2	4	1	4	2	3	2	1	4	4	4	4	1	4	4	1	4	4	4	4	1	1	4	1	4	1	4	1	4	4	3	4	4	4	4	1	4	2	4	4	1	1	4	1	3	4	1	4	2	4
101	3	4	3	4	4	4	3	3	4	4	4	4	3	4	1	3	3	2	2	3	1	4	1	4	2	4	4	4	3	4	4	1	1	4	4	1	4	1	2	3	1	4	1	4	1	4	3	3	4	2	4	4	4	4
102	1	3	2	1	2	3	2	4	3	4	3	4	3	4	2	3	2	3	3	1	3	3	2	4	2	1	3	2	3	4	4	2	2	1	3	1	2	4	2	3	2	3	1	4	1	2	3	2	3	3	2	2	1	4
103	4	2	2	3	4	4	4	4	4	1	3	4	2	4	2	1	3	2	3	4	4	4	4	2	4	4	4	4	2	4	4	4	3	2	4	4	2	4	4	4	1	4	4	4	4	4	4	4	1	4	4	4	3	2
104	3	4	3	1	1	4	3	1	2	4	2	2	4	4	1	3	2	3	3	1	1	4	1	4	3	2	3	3		1	3	3	2	4	4	2	3	2	3	3	3	4	1	3	2	2	4	2	4	3	1	1	1	4
105	4	3	1	4	3	3	4	1	4	2	1	4	1	3	4	3	3	2	1	4	4	4	4	3	2	4	2	1	1	4	1	2	4	2	4	3	2	3	1	4	2	4	3	4	2	4	3	1	3	2	4	3	1	3
106	3	2	1	4	2	3	4	1	1	1	3	3	3	2	2	2	2	3	4	4	2	1	1	3	2	4	3	1	2	4	3	1	2	1	3	3	2	3	1	3	1	3	4	2	3	4	3	2	4	2	4	4	4	3
107	4	4	1	2	2	4	3	2	4	2	4	1	3	3	3	3	1	2	2	2	4	3	1	4	4	2	3	4	3	3	3	4	4	2	4	3	4	4	1	4	1	4	4	3	1	4	3	3	3	4	4	4	4	4
108	3	4	3	3	3	4	2	3	3	2	4	4	3	2	1	2	2	2	2	2	4	3	2	3	1	2	4	2	3	4	3	1	1	2	2	1	3	3	3	4	1	4	2	2	2	3	2	4	2	2	1	1	4	3
109	2	3	1	1	2	4	2	2	2	3	1	1	2	4	1	3	3	2	3	1	2	3	2	4	3	2	3	3	2	1	3	2	1	3	3	1	3	2	3	2	3	3	2	4	4	4	3	2	4	2	3	2	4	4
110	1	4	2	1	2	4	1	2	3	3	1	4	2	2	2	3	1	3	2	1	3	2	2	4	3	2	3	2	2	3	3	1	3	4	1	1	3	4	1	2	4	2	1	3	1	2	4	2	4	2	4	4	2	4
111	2	4	4	3	2	4	2	1	3	2	4	2	3	3	2	3	1	2	3	2	4	2	1	4	2	2	3	4	1	2	3	2	3	4	2	1	3	4	4	4	1	3	3	4	3	3	4	2	3	4	4	3	4	4
112	3	3	1	3	3	4	4	2	4	2	2	4	2	3	3	3	4	3	3	3	4	3	4	3	4	3	3	2	2	4	3	3	3	1	2	3	3	3	2	4	4	3	3	3	1	3	2	4	3	2	4	1	4	3
113	4	2	3	4	3	1	4	2	4	4	2	4	2	4	4	1	2	1	3	4	2	3	4	2	3	4	4	4	2	4	4	3	4	2	4	1	3	3	4	4	3	4	2	4	3	4	2	3	4	4	4	4	2	2
114	4	4	1	3	3	4	4	3	4	3	1	3	4	4	4	4	3	4	3	3	3	4	3	4	3	4	4	3	3	3	3	2	3	4	3	1	4	4	4	4	4	4	4	4	2	4	2	1	4	2	4	4	1	4
